Ensembl_ID	count	chromosome	start	end
ENSG00000124209	4424.0	20	58309696	58367507
ENSG00000064703	1790.0	1	111755245	111768016
ENSG00000230873	0.0	6	17102258	17131372
ENSG00000124208	37.38	20	50081124	50153637
ENSG00000187223	0.0	1	152663396	152664659
ENSG00000243772	0.0	19	54738515	54753052
ENSG00000160161	19.0	19	19538248	19546659
ENSG00000174775	1960.0	11	532242	537287
ENSG00000266953	4.82	19	34396315	34409364
ENSG00000111837	4.0	6	10762723	10838555
ENSG00000110514	1605.0	11	47269161	47330031
ENSG00000074047	670.0	2	120735623	120992653
ENSG00000174776	1.0	3	167478684	167653983
ENSG00000076864	2.0	1	21596215	21669363
ENSG00000086015	1573.0	1	45786987	46036124
ENSG00000248920	0.0	4	9253378	9255329
ENSG00000115808	3957.0	2	36843640	36966472
ENSG00000168032	0.0	3	40387156	40428619
ENSG00000167747	1404.0	19	50797704	50804929
ENSG00000163728	1391.0	3	180602130	180617828
ENSG00000168036	78953.0	3	41194837	41260096
ENSG00000167740	404.0	17	4143168	4187310
ENSG00000111358	2358.0	12	123633739	123662606
ENSG00000168038	496.0	3	41246599	41962430
ENSG00000167346	0.0	11	4704927	4992429
ENSG00000167749	0.0	19	50906352	50910738
ENSG00000167748	0.0	19	50819148	50823787
ENSG00000240764	363.36	5	141489121	141512979
ENSG00000124201	11022.0	20	49237946	49278426
ENSG00000108784	359.94	17	42536172	42544449
ENSG00000155052	0.0	2	124025287	124915287
ENSG00000184465	479.0	6	169457212	169702048
ENSG00000084676	2044.0	2	24491914	24770702
ENSG00000087494	31.0	12	27958084	27972705
ENSG00000087495	0.0	20	59577509	59847711
ENSG00000117791	16.0	1	220748225	220784815
ENSG00000219545	506.02	7	7640711	7968020
ENSG00000171402	0.0	X	52862525	52868068
ENSG00000261609	2246.65	16	81314952	81390884
ENSG00000169744	3112.0	4	16501541	16898809
ENSG00000124205	0.0	20	59300427	59325992
ENSG00000234857	834.09	11	62690275	62727384
ENSG00000197150	741.0	7	151028422	151047782
ENSG00000178573	3.0	16	79585843	79600714
ENSG00000100426	2366.0	22	49853842	49890078
ENSG00000170374	0.0	12	53326575	53345315
ENSG00000059804	6386.95	12	7919230	7936275
ENSG00000168297	1002.0	3	58332880	58426126
ENSG00000272305	0.16	3	52969119	53099453
